"Alamat","Nama Tempat","Rating","Review","Items","W4Efsd 2","doJOZc","W4Efsd 3","W4Efsd 4","W4Efsd 5","W4Efsd 6","W4Efsd 7","UsdlK","lcr4fd href","Cw1rxd","R8c4Qb","Cw1rxd 2","R8c4Qb 2","Jn12ke src","ah5Ghc"
"https://www.google.com/maps/place/Bening+Klinik+Psikologi+Jogja/data=!4m7!3m6!1s0x2e7a59335dfe06f5:0xf369a15a3ecb1a51!8m2!3d-7.7804098!4d110.3434219!16s%2Fg%2F11kp6h9r69!19sChIJ9Qb-XTNZei4RURrLPlqhafM?authuser=0&hl=id&rclk=1","Bening Klinik Psikologi Jogja","5,0","(12)","Klinik Kesehatan Mental","·","","Rukan Gading Mas No. 8A-9A","·","Tutup","· Buka Sen pukul 09.00","","0812-2556-5656","https://beningpsikologi.com/","","Situs Web","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Tempat konseling yang aman, profesional, dan bebas dari stigma."""
"https://www.google.com/maps/place/Biro+Psikologi+%22Intuisi%22+Yogyakarta/data=!4m7!3m6!1s0x2e7a5a354b095ba5:0x7f3e35a9c7dd1ed3!8m2!3d-7.7508822!4d110.4490856!16s%2Fg%2F11g70x5rv9!19sChIJpVsJSzVaei4R0x7dx6k1Pn8?authuser=0&hl=id&rclk=1","Biro Psikologi ""Intuisi"" Yogyakarta","4,9","(78)","Psikolog","·","","·","Buka","· Tutup pukul 20.00","Jl. Japlaksari, RT.18/RW.No 01","·","0823-1331-1832","","","Rute","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Pelayanan ramah dan harga bersahabat"""
"https://www.google.com/maps/place/praktek+saraf+dan+jiwa+Prof+Soejono+%2FDr+Sonny+SpS%2FDr+Carla+SpKJ/data=!4m7!3m6!1s0x2e7a577f56c0f5bb:0x6b67d2148575705f!8m2!3d-7.8007986!4d110.3786924!16s%2Fg%2F11b64l97pd!19sChIJu_XAVn9Xei4RX3B1hRTSZ2s?authuser=0&hl=id&rclk=1","praktek saraf dan jiwa Prof Soejono /Dr Sonny SpS/Dr Carla SpKJ","4,5","(59)","Dokter","","","·","Tutup","· Buka Sen pukul 19.00","","","(0274) 544999","","","Rute","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Biaya yg cukup mahal menurut kami sesuai dengan hasilnya."""
"https://www.google.com/maps/place/Lembaga+psikologi+BINA+ASIH/data=!4m7!3m6!1s0x2e7a5763b649bf37:0x52d7d1e9164bb879!8m2!3d-7.7985998!4d110.3966573!16s%2Fg%2F1pzsnc4ms!19sChIJN79JtmNXei4RebhLFunR11I?authuser=0&hl=id&rclk=1","Lembaga psikologi BINA ASIH","4,7","(21)","Psikolog","·","","·","Jl. Balirejo I No.33","Tutup","· Buka Sen pukul 09.00","·","(0274) 582051","http://www.binaasihpsikologi.com/","","Situs Web","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Pegawainya ramah, hasil cukup memuaskan"""
"https://www.google.com/maps/place/Omah+Perden/data=!4m7!3m6!1s0x2e7a582d854916bd:0xdabc23de5ac845e6!8m2!3d-7.7858252!4d110.3749151!16s%2Fg%2F11gb3t1zw5!19sChIJvRZJhS1Yei4R5kXIWt4jvNo?authuser=0&hl=id&rclk=1","Omah Perden","4,9","(21)","Psikolog","·","","Jl. Juadi No.1","·","Tutup","· Buka Sen pukul 08.00","","0813-9257-9971","http://www.kemuningkembar.com/","","Situs Web","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""- Pelayanan oleh seluruh staff sangat ramah."""
"https://www.google.com/maps/place/Biro+Psikologi+Kalyananda/data=!4m7!3m6!1s0x2e7a59aabd6b7337:0x3077b680cd413237!8m2!3d-7.7566925!4d110.377959!16s%2Fg%2F11cr__4vw9!19sChIJN3NrvapZei4RNzJBzYC2dzA?authuser=0&hl=id&rclk=1","Biro Psikologi Kalyananda","4,8","(23)","Psikolog","·","","Jl. Pogung Baru No.H5","Tutup","· Buka Sel pukul 08.00","·","","0857-0074-5556","","","Rute","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""tapi ga cuma 1-2 kali aku ngerasa waktuku ga dihargain."""
"https://www.google.com/maps/place/Prashanti+Psychological+Clinic+n+Hypnotherapi/data=!4m7!3m6!1s0x2e7a57738dc70e57:0xf63e4af20f59af11!8m2!3d-7.8121172!4d110.3855365!16s%2Fg%2F11cn9jvx0h!19sChIJVw7HjXNXei4REa9ZD_JKPvY?authuser=0&hl=id&rclk=1","Prashanti Psychological Clinic n Hypnotherapi","4,5","(44)","Psikolog","·","","Jl. Empu Gandring Gg. Empu Darmaja No.2","·","Tutup","· Buka Sen pukul 09.00","","0818-0431-4900","https://ruangpsikologiprashanti.com/","","Situs Web","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Penanganan yang profesional, ramah, recomend!"""
"https://www.google.com/maps/place/Klinik+Psikologi+RS.+Bethesda/data=!4m7!3m6!1s0x2e7a59e2ca2808fb:0xe94012a71f8dc8e8!8m2!3d-7.7839841!4d110.3783861!16s%2Fg%2F11j9khb5w6!19sChIJ-wgoyuJZei4R6MiNH6cSQOk?authuser=0&hl=id&rclk=1","Klinik Psikologi RS. Bethesda","5,0","(1)","Psikolog","·","","Jl. Jend. Sudirman No.70","Tutup","· Buka Sen pukul 08.00","·","","0812-2620-7407","","","Rute","","","",""
"https://www.google.com/maps/place/Lembaga+Psikologi+dan+Manajemen+Terapan+Pelita+Jiwa+Sejahtera/data=!4m7!3m6!1s0x2e7a57830b016337:0xad24ee9f8573b9fa!8m2!3d-7.8025184!4d110.3717092!16s%2Fg%2F1pzpl4ykz!19sChIJN2MBC4NXei4R-rlzhZ_uJK0?authuser=0&hl=id&rclk=1","Lembaga Psikologi dan Manajemen Terapan Pelita Jiwa Sejahtera","4,3","(4)","Konsultan","·","","Jl. Bintaran Kulon MG II No.25","Tutup","· Buka Sen pukul 08.00","·","","(0274) 376713","","","Rute","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Rasanya seperti balik ke masa lalu, dengan interior klasiknya."""
"https://www.google.com/maps/place/Psikolog+Klinis+Vindya+Nuriljaza+Buditama,+M.Psi.,+Psikolog/data=!4m7!3m6!1s0x2e7a590014ed765b:0x48d22e21be0bd867!8m2!3d-7.7884539!4d110.3471659!16s%2Fg%2F11yq8q6w_x!19sChIJW3btFABZei4RZ9gLviEu0kg?authuser=0&hl=id&rclk=1","Psikolog Klinis Vindya Nuriljaza Buditama, M.Psi., Psikolog","5,0","(11)","Psikolog","·","","Jl. Soragan Gg. Kenanga No.238, RT.06","·","Tutup","· Buka Sen pukul 08.00","","0895-3275-74848","https://msha.ke/vindyanb","","Situs Web","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Tempat counselingnya nyaman banget dan bikin tenang dari awal datang."""
"https://www.google.com/maps/place/TERAS+HATI+JOGJA/data=!4m7!3m6!1s0x2e7a575573426e69:0x178cda99c18e7195!8m2!3d-7.8183794!4d110.3576422!16s%2Fg%2F11h5w7c8md!19sChIJaW5Cc1VXei4RlXGOwZnajBc?authuser=0&hl=id&rclk=1","TERAS HATI JOGJA","3,5","(2)","Konsultan","","","·","Buka 24 jam","","","","0812-2646-1126","","","Rute","","","",""
"https://www.google.com/maps/place/ASA+Psychological+Consultant/data=!4m7!3m6!1s0x2fd4c7ccfd228741:0xcd74d493db5dcf37!8m2!3d-7.7650842!4d110.3807781!16s%2Fg%2F11fn2gcbn2!19sChIJQYci_czH1C8RN89d25PUdM0?authuser=0&hl=id&rclk=1","ASA Psychological Consultant","5,0","(10)","Psikolog","","","·","Tutup","· Buka Sel pukul 10.00","","","0896-6242-5592","","","Rute","","","",""
"https://www.google.com/maps/place/L.+Edwin+Gandawijaya,+M.Psi.,+Psikolog/data=!4m7!3m6!1s0x2e7a597bb4ffb08f:0x7e20b8c3b7059404!8m2!3d-7.7932246!4d110.3815665!16s%2Fg%2F11rsdzyzws!19sChIJj7D_tHtZei4RBJQFt8O4IH4?authuser=0&hl=id&rclk=1","L. Edwin Gandawijaya, M.Psi., Psikolog","5,0","(13)","Psikolog","·","","Jl. Cemp. No.7","·","Tutup","· Buka pukul 10.00","","0857-1881-1991","https://calendar.app.google/Y1TWNXPBNN4DrjK26","","Situs Web","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Langsung cocok ketika pertama kali ngobrol sama Pak Edwin."""
"https://www.google.com/maps/place/DINAMIS+Biro+Psikologi/data=!4m7!3m6!1s0x2e7a59b79d56d86f:0x30da9feb72c0abdc!8m2!3d-7.7226676!4d110.4009871!16s%2Fg%2F11fl09mt78!19sChIJb9hWnbdZei4R3KvAcuuf2jA?authuser=0&hl=id&rclk=1","DINAMIS Biro Psikologi","5,0","(310)","Psikolog","·","","Jalan Kaliurang, Jl. Gondangan Gg. Anggrek km 10, RT.3/RW.45","·","Buka","· Tutup pukul 16.00","","0896-8716-4716","https://instagram.com/biropsikologidinamis?utm_source=ig_profile_share&igshid=4mxn9p8oc34q","","Situs Web","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Akhirnya nemu"
